epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3566.55,0.71142,0.47179,1.20719,0.95744,0.92982,0.97441,0.75258,0.88427,0.5522,1.31586,6.1152e-05,6.1152e-05,6.1152e-05
42,3648.49,0.69573,0.44924,1.19217,0.96125,0.94231,0.97422,0.75767,0.86286,0.53478,1.30067,5.53308e-05,5.53308e-05,5.53308e-05
43,3734.52,0.68739,0.4389,1.19156,0.96648,0.94416,0.97715,0.76266,0.85645,0.52929,1.29444,4.95096e-05,4.95096e-05,4.95096e-05
44,3816.9,0.67503,0.4355,1.17265,0.96544,0.94558,0.97655,0.75963,0.85917,0.52225,1.28863,4.36884e-05,4.36884e-05,4.36884e-05
45,3899.15,0.66705,0.42601,1.17205,0.95703,0.94772,0.97732,0.76332,0.85873,0.51876,1.28663,3.78672e-05,3.78672e-05,3.78672e-05
46,3981.63,0.65755,0.41539,1.16277,0.94553,0.95279,0.97866,0.7651,0.8609,0.51706,1.30107,3.2046e-05,3.2046e-05,3.2046e-05
47,4065.41,0.64531,0.40743,1.15477,0.96461,0.94812,0.9784,0.76887,0.85201,0.50258,1.29066,2.62248e-05,2.62248e-05,2.62248e-05
48,4147.96,0.6383,0.40098,1.14279,0.96447,0.95669,0.97955,0.76644,0.84531,0.50246,1.28322,2.04036e-05,2.04036e-05,2.04036e-05
49,4228.52,0.63441,0.39683,1.14308,0.96982,0.95187,0.98043,0.77232,0.8384,0.49555,1.27813,1.45824e-05,1.45824e-05,1.45824e-05
50,4313,0.63463,0.3993,1.14697,0.96867,0.94989,0.98084,0.77263,0.83961,0.49407,1.28011,8.7612e-06,8.7612e-06,8.7612e-06
